Levels;Contaminations;Depth
c(3, 3);2;2
c(3, 6, 9, 15, 9, 9, 3);18;7
c(3, 6, 9, 15, 21, 18, 9);27;7
c(3, 6, 15, 21, 30, 15, 21, 9);40;8
c(3, 6, 9, 12, 9, 12, 6, 9, 6);24;9
c(3, 6, 15, 24, 21, 15);28;6
c(3, 6, 6, 9, 9, 3);12;6
c(3, 6, 9, 6, 3, 3);10;6
c(3, 9, 24, 36, 24, 21, 21, 3);47;8
c(3, 9, 15, 18, 12, 9, 9, 9);28;8
c(3, 9, 21, 33, 30, 18, 9, 9, 6);46;9
c(3, 6, 6, 15, 12, 6, 3);17;7
c(3, 6, 15, 21, 21, 9, 6, 3, 3);29;9
c(3, 9, 12, 18, 18, 21, 12, 6, 3);34;9
c(3, 6, 12, 12, 15, 12, 15, 3, 3, 3);28;10
c(3, 9, 9, 9, 6);12;5
c(3, 3, 6, 12, 12, 6, 6, 3);17;8
c(3, 6, 9, 12, 18, 15, 15, 6);28;8
c(3, 6, 12, 18, 18, 9, 6, 6);26;8
c(3, 6, 6, 3);6;4
c(3, 6, 15, 18, 15, 9);22;6
c(3, 6, 12, 15, 12, 21, 9, 3);27;8
c(3, 9, 12, 9, 18, 15, 3);23;7
c(3, 3, 6, 6, 6, 3);9;6
c(3, 9, 3, 6, 9, 6, 12, 9, 3);20;9
c(3, 9, 18, 15, 6);17;5
c(3, 6, 15, 18, 21, 18, 3);28;7
c(3, 3, 6, 6, 9);9;5
c(3, 9, 18, 27, 36, 21, 9);41;7
c(3, 9, 21, 27, 27, 24, 27, 9);49;8
c(3, 9, 21, 24, 30, 27, 15, 12, 6);49;9
c(3, 6, 15, 18, 18, 15, 6, 3);28;8
c(3, 6, 9, 3);7;4
c(3, 3, 3);3;3
c(3, 9, 18, 18, 12, 12, 3, 3, 3);27;9
c(3, 6, 12, 21, 15, 18, 6, 6);29;8
c(3, 6);3;2
c(3, 9, 12, 15, 12, 12, 12, 6);27;8
c(3, 9, 15, 30, 33, 27, 12, 6);45;8
c(3, 6, 12, 12, 15, 15, 9);24;7
c(3, 3, 3, 3, 3);5;5
c(3, 9, 24, 33, 27, 12, 3);37;7
c(3, 9, 18, 21, 24, 6, 6);29;7
c(3, 6, 12, 24, 15, 3);21;6
c(3, 3, 3, 3, 3, 3);6;6
c(3, 9, 12, 18, 21, 18, 15, 6, 3);35;9
c(3, 9, 15, 21, 30, 21, 21, 6);42;8
c(3, 9, 9, 12, 15, 12, 9, 3);24;8
c(3, 9, 9, 12, 12, 9, 6, 3);21;8
c(3, 3, 6);4;3
c(3, 9, 15, 21, 21, 12);27;6
c(3, 6, 15, 21, 27, 18);30;6
c(3, 9, 12, 21, 24, 21, 12, 6);36;8
c(3, 9, 18, 39, 48, 33, 21, 6, 3, 3);61;10
c(3, 6, 9, 12, 9, 3, 3);15;7
c(3, 3);2;2
c(3, 9, 21, 30, 9, 6, 12, 6, 6);34;9
c(3, 3, 6, 12, 9, 15);16;6
c(3, 3, 6, 9);7;4
c(3, 9, 3, 3, 3);7;5
c(3, 9, 21, 27, 18, 15, 6, 3);34;8
c(3, 6, 6, 12, 15, 3);15;6
c(3, 3, 6, 6, 3);7;5
c(3, 6, 3);4;3
c(3, 3, 6, 9, 6, 3, 3);11;7
c(3, 9, 9, 12, 18, 6);19;6
c(3, 9, 12, 18, 12, 9);21;6
c(3, 9, 15, 15, 15, 12, 6, 9, 3);29;9
c(3, 6, 6, 6, 12, 6, 6, 3, 3);17;9
c(3, 3, 3, 3, 3, 3);6;6
c(3, 6, 15, 15, 15, 12, 6, 3);25;8
c(3, 6, 12, 18, 9, 9, 6, 3);22;8
c(3, 9, 18, 30, 33, 15, 3, 3);38;8
c(3, 6, 12, 15, 18, 9, 6, 6);25;8
c(3, 9, 21, 15, 12, 12, 15, 3);30;8
c(3, 3, 6, 9, 6, 6);11;6
c(3, 9, 24, 36, 36, 27, 27, 24, 6);64;9
c(3, 6, 15, 21, 18, 12, 6);27;7
c(3, 6, 12, 9, 15, 18, 15, 6, 3);29;9
c(3, 6, 9, 12, 12, 15, 12, 6);25;8
c(3, 9, 15, 21, 15, 6);23;6
c(3, 9, 12, 12, 9, 3);16;6
c(3, 9, 9, 6, 6);11;5
c(3, 9, 12, 18, 15, 12, 6);25;7
c(3, 9, 15, 21, 24, 27, 15, 12, 6, 3);45;10
c(3, 3, 9, 6, 6, 3);10;6
c(3, 9, 21, 48, 30, 24, 6, 9);50;8
c(3, 6, 9, 21, 21, 15, 12, 3, 3);31;9
c(3, 9, 9, 12, 15, 15, 6, 3);24;8
c(3, 6, 12, 18, 24, 18, 3, 3);29;8
c(3, 9, 15, 12, 12, 6);19;6
c(3, 3, 3, 3, 3, 3);6;6
c(3, 6, 6, 6, 3, 3, 6, 6, 6);15;9
c(3, 3, 9, 9, 6, 3, 3, 3);13;8
c(3, 6, 12, 21, 24, 24, 6);32;7
c(3, 9, 15, 15, 18, 6, 3);23;7
c(3, 6, 9, 12, 9);13;5
c(3, 6, 9, 9, 12, 6, 6, 3, 6, 3);21;10
c(3, 6, 15, 9, 6, 3);14;6
c(3, 6, 12, 12, 12, 15, 6, 3);23;8
c(3, 9, 9, 15, 6);14;5
c(3, 9, 21, 24, 21, 12, 3);31;7
c(3, 6, 12, 15, 12, 6, 9, 3);22;8
c(3, 9, 12, 15, 21, 30, 18, 3);37;8
c(3, 3, 6, 9, 6);9;5
c(3, 6, 9, 12, 12, 12, 6, 3);21;8
c(3, 6, 12, 21, 15, 15, 3);25;7
c(3, 9, 15, 18, 18, 3);22;6
c(3, 6, 6, 9, 18, 9, 6, 6, 6, 3);24;10
c(3, 6, 12, 15, 21, 9);22;6
c(3, 6, 12, 15, 27, 18, 12, 9, 3);35;9
c(3, 6, 15, 21, 24, 24, 12, 3);36;8
c(3, 6, 9, 12, 9, 3);14;6
c(3, 3, 6, 6, 3, 3);8;6
c(3, 9, 21, 18, 27, 30, 18, 9, 3);46;9
c(3, 6, 15, 18, 18, 12, 3);25;7
c(3, 9, 15, 18, 24, 21, 18, 3, 3, 3);39;10
c(3, 6, 9, 12, 3, 3);12;6
c(3, 6, 12, 18, 21, 12, 15, 6);31;8
c(3, 9, 18, 33, 33, 24, 6);42;7
c(3, 9, 12, 12, 15, 12, 12);25;7
c(3, 9, 12, 18, 33, 24, 9, 3);37;8
c(3, 6, 12, 18, 21, 18, 15, 3);32;8
c(3, 6, 6, 9, 9, 6, 6);15;7
c(3, 6, 12, 15, 18, 6);20;6
c(3, 6, 6, 3, 6, 6, 3);11;7
c(3, 3, 9, 18, 12, 3, 3);17;7
c(3, 6, 12, 15, 6);14;5
c(3, 9, 12, 18, 21, 18, 12, 6, 3);34;9
c(3, 3, 6, 12, 9, 6, 6, 3);16;8
c(3, 6, 9, 9, 12, 6, 6, 3);18;8
c(3, 9, 18, 24, 21, 12);29;6
c(3, 6, 12, 18, 18, 24, 12, 3);32;8
c(3, 6, 6, 9, 3, 3);10;6
c(3, 3, 3);3;3
c(3, 6, 12, 18, 27, 39, 24, 9);46;8
c(3, 9, 12, 9, 9, 12, 3);19;7
c(3, 6, 12, 15, 15, 12);21;6
c(3, 9, 21, 21, 18, 15, 9, 6);34;8
c(3, 9, 18, 30, 27, 18, 9, 3, 3);40;9
c(3, 9, 18, 30, 21, 12, 3);32;7
c(3, 9, 18, 21, 12, 9, 6);26;7
c(3, 6, 9, 3);7;4
c(3, 6, 12, 6, 3);10;5
c(3, 9, 18, 21, 27, 9, 9);32;7
c(3, 3, 3, 9, 9, 9, 3);13;7
c(3, 6, 15, 21, 24, 12, 9, 6);32;8
c(3, 6, 9, 21, 18, 15, 9, 3);28;8
c(3, 9, 18, 21, 18, 12);27;6
c(3, 6, 12, 12, 12, 15, 6, 3);23;8
c(3, 9, 12, 12, 12, 6);18;6
c(3, 6, 9, 9, 6, 3, 3);13;7
c(3, 9, 18, 18, 15, 18, 6);29;7
c(3, 6, 9, 15, 15, 12, 12, 6, 3);27;9
c(3, 9, 15, 24, 18, 6);25;6
c(3, 6, 9, 6, 6, 9, 9, 3);17;8
c(3, 3, 6, 12, 18, 24, 18, 6, 3);31;9
c(3, 9, 12, 12, 12, 3, 6, 3, 6, 3);23;10
c(3, 6, 15, 30, 42, 21, 6, 3);42;8
c(3, 6, 12, 21, 21, 9, 9, 6);29;8
c(3, 6, 6, 3, 3, 3, 3, 3);10;8
c(3, 6, 9, 15, 18, 9, 3);21;7
c(3, 6, 12, 15, 6, 3);15;6
c(3, 9, 21, 30, 33, 27, 12, 3);46;8
c(3, 6, 6, 3, 6, 3);9;6
c(3, 9, 15, 21, 24, 9);27;6
c(3, 9, 12, 15, 12, 9, 6);22;7
c(3, 6, 6, 6, 9, 9, 9, 3);17;8
c(3, 9, 15, 21, 24, 15, 9, 3);33;8
c(3, 9, 18, 33, 27, 15, 15, 3);41;8
c(3, 6, 15, 21, 21, 21, 9, 12, 6);38;9
c(3, 9, 18, 12, 9, 9, 6);22;7
c(3, 6, 15, 15, 9, 15, 15, 12, 3, 3);32;10
c(3, 6, 6, 9, 3, 3, 6);12;7
c(3, 9, 18, 36, 42, 30, 21, 18, 9, 3);63;10
c(3, 9, 21, 21, 27, 21, 9, 3, 3, 3);40;10
c(3, 9, 15, 24, 30, 21, 12);38;7
c(3, 3, 9, 12, 6, 9, 18);20;7
c(3, 3, 6, 12, 6);10;5
c(3, 9, 24, 36, 42, 18, 6, 3);47;8
c(3, 3, 6, 12, 12, 12, 12);20;7
c(3, 3, 3);3;3
c(3, 9, 15, 21, 21, 27, 21, 9, 9, 6, 3);48;11
c(3, 6, 6, 9, 9, 12, 9);18;7
c(3, 9, 12, 9, 6, 6, 6);17;7
c(3, 9, 15, 24, 33, 15, 3);34;7
c(3, 6, 9, 12, 12, 9, 18, 9, 6);28;9
c(3, 6, 15, 24, 27, 15, 3);31;7
c(3, 9, 3, 6, 6, 12, 6);15;7
c(3, 9, 15, 15, 3, 6, 6, 6);21;8
c(3, 6, 9, 15, 12, 9, 9);21;7
c(3, 6, 9, 15, 15, 6);18;6
c(3, 6, 9, 12, 12, 9, 15, 3);23;8
c(3, 6, 12, 12, 9, 6, 3, 3);18;8
c(3, 9, 21, 27, 24, 18, 9, 3);38;8
c(3, 9, 21, 30, 33, 21, 3);40;7
c(3, 9, 12, 15, 18, 12, 9, 6);28;8
c(3, 3, 6, 3, 6);7;5
c(3, 6, 9, 15, 12, 18, 18, 6, 3, 3, 3);32;11
c(3, 9, 12, 15, 12, 6, 3);20;7
c(3, 9, 12, 15, 6, 9, 3);19;7
c(3, 9, 18, 15, 18, 12, 6, 3);28;8
c(3, 9, 21, 27, 18, 9, 6);31;7
c(3, 6, 12, 18, 24, 21, 6);30;7
c(3, 6, 9, 15, 12, 12, 6);21;7
c(3, 6, 15, 21, 6, 6, 3);20;7
c(3, 6, 6, 12, 3);10;5
c(3, 6, 15, 21, 15, 18, 3, 3);28;8
c(3, 9, 15, 24, 12, 6);23;6
c(3, 9, 12, 12, 9, 9, 3);19;7
c(3, 6, 9, 9, 6, 6, 6, 3);16;8
c(3, 6, 15, 18, 15, 9, 3, 3);24;8
c(3, 6, 15, 15, 15, 9, 6, 3);24;8
c(3, 6, 9, 15, 12, 12, 9, 3);23;8
c(3, 6, 9, 15, 21, 9, 6, 3);24;8
c(3, 9, 18, 15, 15, 6, 3);23;7
c(3, 6, 6, 9, 9, 3, 3);13;7
c(3, 9, 18, 12, 9, 6, 3);20;7
c(3, 6, 12, 15, 12, 15, 15);26;7
c(3, 6, 12, 12, 6, 3, 3, 3);16;8
c(3, 6, 15, 12, 15, 9, 3);21;7
c(3, 6, 3, 3, 3, 6, 3);9;7
c(3, 6, 6, 6, 3);8;5
c(3, 9, 18, 24, 27, 18, 12, 3, 3);39;9
c(3, 3, 6, 9, 18, 15, 3);19;7
c(3, 3, 9, 12, 3);10;5
c(3, 9, 15, 12, 12, 3);18;6
c(3, 9, 15, 27, 27, 12, 9, 3);35;8
c(3, 9, 15, 21, 12, 6, 3);23;7
c(3, 3, 9, 9, 15, 12, 9, 3);21;8
c(3, 9, 15, 24, 21, 3);25;6
c(3, 6, 15, 18, 18, 9);23;6
c(3, 9, 18, 24, 33, 27, 21, 18, 3);52;9
c(3, 9, 12, 15, 9, 3, 3);18;7
c(3, 9, 21, 33, 45, 27, 12);50;7
c(3, 3, 6, 9, 3, 6, 3, 3);12;8
c(3, 6, 3, 3);5;4
c(3, 6, 15, 18, 21, 15, 15, 6);33;8
c(3, 9, 9, 12, 9, 6);16;6
c(3, 6, 15, 12, 15, 6, 6, 6);23;8
c(3, 6, 6, 6, 6, 3, 6, 6);14;8
c(3, 6, 6, 12, 18, 15, 3);21;7
c(3, 9, 21, 24, 15, 6);26;6
c(3, 9, 18, 24, 21, 12, 9);32;7
c(3, 6, 9, 12, 15, 15, 9, 12, 3);28;9
c(3, 3, 3, 3, 3);5;5
c(3, 9, 9, 12, 18, 12, 3);22;7
c(3, 6, 6, 6, 3);8;5
c(3, 9, 18, 24, 24, 12, 9, 6);35;8
c(3, 9, 12, 6, 6, 3, 3, 3);15;8
c(3, 6, 9, 12, 9, 9, 3);17;7
c(3, 6, 12, 15, 15, 9, 3);21;7
c(3, 3);2;2
c(3, 3, 3, 6, 6, 6);9;6
c(3, 6, 6, 3);6;4
c(3, 9, 3, 3);6;4
c(3, 6, 12, 15, 18, 3);19;6
c(3, 9, 18, 30, 24, 30, 9, 3);42;8
c(3, 9, 18, 33, 30, 18, 15, 6);44;8
c(3, 6, 12, 18, 15, 15, 9, 3);27;8
c(3, 9, 15, 15, 18, 18, 6, 3);29;8
c(3, 6, 12, 15, 18, 12, 6);24;7
c(3, 6, 12, 18, 9, 9);19;6
c(3, 6, 12, 18, 12, 6, 9, 9, 6);27;9
c(3, 3, 6, 9, 6, 6, 15, 3, 6, 3);20;10
c(3, 9, 12, 15, 15, 15, 9, 3, 3, 3);29;10
c(3, 6, 12, 12, 12, 21, 6, 3);25;8
c(3, 9, 15, 15, 21, 15, 15, 6, 6, 6, 3);38;11
c(3, 6, 3);4;3
c(3, 9, 15, 18, 21, 12, 3, 3);28;8
c(3, 3);2;2
c(3, 9, 18, 18, 9, 3, 9);23;7
c(3, 9, 15, 21, 18, 15, 12, 6, 3);34;9
c(3, 9, 15, 15, 18, 6, 3, 3, 3);25;9
c(3, 6, 9, 3, 3);8;5
c(3, 9, 21, 30, 27, 24, 12, 3);43;8
c(3, 9, 12, 21, 18, 15, 3);27;7
c(3, 9, 18, 21, 30, 12);31;6
c(3, 9, 21, 24, 15, 9, 3);28;7
c(3, 9, 6, 6, 12, 15, 9, 12, 3);25;9
c(3, 9, 15, 12, 21, 9, 3);24;7
c(3, 3);2;2
c(3, 6, 15, 15, 6, 3);16;6
c(3, 6, 6, 9, 9, 6, 6);15;7
c(3, 6, 15, 24, 27, 21, 12, 12);40;8
c(3, 9, 18, 24, 24, 21, 9, 6);38;8
c(3, 9, 15, 9, 3);13;5
c(3, 6, 15, 15, 18, 15, 15, 3);30;8
c(3, 6, 12, 6, 6, 3, 3, 3);14;8
c(3, 6, 9, 9, 9, 6, 3);15;7
c(3, 6, 12, 9, 6, 3);13;6
c(3, 9, 18, 21, 39, 39, 6, 3);46;8
c(3, 9, 12, 9, 6);13;5
c(3, 3, 3, 3);4;4
c(3, 6, 15, 18, 21, 9, 6);26;7
c(3, 6, 9, 12, 6, 6, 3, 3);16;8
c(3, 9, 12, 15, 18, 18);25;6
c(3, 6, 12, 12, 12, 18, 15);26;7
c(3, 6, 9, 3);7;4
c(3, 6, 3, 6, 3, 6, 6);11;7
c(3, 9, 21, 24, 24, 15, 9, 3, 3);37;9
c(3, 3, 6, 9, 6, 9, 15, 6);19;8
c(3, 6, 12, 6, 3);10;5
c(3, 9, 12, 15, 18, 6, 6, 9);26;8
c(3, 9, 9, 15, 12, 9, 3);20;7
c(3, 9, 9, 12, 9, 9, 9, 3, 3);22;9
c(3, 9, 12, 12, 12, 9);19;6
c(3, 9, 24, 27, 33, 18, 9, 9, 3);45;9
c(3, 9, 18, 36, 42, 33, 12, 3, 3, 3);54;10
c(3, 9, 24, 27, 18, 18, 9, 3);37;8
c(3, 3, 3);3;3
c(3, 6, 9, 9, 12, 15, 6, 3, 3);22;9
c(3, 9, 15, 18, 6, 6);19;6
c(3, 3, 9, 18, 12, 6);17;6
c(3, 9, 12, 6, 3, 3, 3);13;7
c(3, 9, 21, 36, 36, 27, 15, 12);53;8
c(3, 9, 24, 21, 21, 9, 3);30;7
c(3, 9, 15, 15, 9, 3);18;6
c(3, 9, 21, 30, 15, 15, 12, 6);37;8
c(3, 9, 18, 24, 18, 12, 6, 3);31;8
c(3, 6, 12, 24, 27, 15, 15, 9, 3);38;9
c(3, 3, 6, 12, 15, 12, 9, 15, 6);27;9
c(3, 6, 6, 6, 6, 3);10;6
c(3, 9, 12, 12, 9, 3, 6, 3, 3);20;9
c(3, 9, 18, 30, 24, 27, 12, 3);42;8
c(3, 9, 21, 30, 27, 30, 15, 12, 3);50;9
c(3, 3, 6, 12, 15, 6, 3, 3);17;8
c(3, 6, 6, 3);6;4
c(3, 9, 15, 24, 18, 12, 9, 3);31;8
c(3, 6, 3, 3, 3);6;5
c(3, 9, 12, 18, 18, 18, 6);28;7
c(3, 6, 15, 15, 12, 12, 18, 9);30;8
c(3, 6, 3, 3, 6, 9, 9, 3);14;8
c(3, 9, 18, 15, 24, 18, 9, 6, 6, 3, 3);38;11
c(3, 9, 18, 18, 12, 9);23;6
c(3, 6, 18, 27, 21, 18, 6, 3, 3);35;9
c(3, 9, 15, 24, 30, 33, 18, 15, 6, 9);54;10
c(3, 9, 9, 15, 12, 12, 6);22;7
c(3, 6, 9, 15, 21, 9, 9, 6);26;8
c(3, 6, 9, 9, 12, 6, 6);17;7
c(3, 6, 12, 15, 15, 9, 6, 3, 3);24;9
c(3, 6, 6, 6, 3, 3);9;6
c(3, 6, 15, 15, 15, 3, 3, 3, 3);22;9
c(3, 3, 6, 12, 15, 12, 6, 3);20;8
c(3, 6, 12, 6, 3, 3);11;6
c(3, 9, 15, 12, 12, 9, 6);22;7
c(3, 6, 12, 18, 18, 15, 9);27;7
c(3, 9, 21, 36, 30, 21, 9);43;7
c(3, 6, 6, 6);7;4
c(3, 9, 18, 18, 12, 18, 12, 3);31;8
c(3, 6, 9, 9);9;4
c(3, 6, 18, 36, 48, 39, 12, 6, 3);57;9
c(3, 9, 9, 9, 9, 21, 21, 12);31;8
c(3, 9, 18, 24, 30, 21, 12, 9, 9, 3);46;10
c(3, 6, 12, 18, 18, 27, 9, 9);34;8
c(3, 9, 18, 30, 33, 30, 15, 6);48;8
c(3, 9, 18, 27, 36, 15, 9, 3);40;8
c(3, 6, 15, 21, 15, 6, 3, 3);24;8
c(3, 9, 24, 30, 27, 12, 6);37;7
c(3, 6, 15, 30, 24, 18, 9, 6);37;8
c(3, 3, 3, 6, 3, 3);7;6
c(3, 6, 12, 9, 6, 9, 6);17;7
c(3, 6, 15, 15, 18, 12, 3, 6, 6);28;9
c(3, 9, 12, 15, 18, 12, 9, 9, 6);31;9
c(3, 6, 12, 18, 21, 15, 9, 12, 3);33;9
c(3, 6, 6, 9, 9, 9, 6, 3, 3, 6);20;10
c(3, 9, 18, 21, 18, 3, 3);25;7
c(3, 3, 3);3;3
c(3, 9, 15, 27, 24, 15, 9, 3);35;8
c(3, 9, 12, 15, 15, 3);19;6
c(3, 6, 3, 3);5;4
c(3, 9, 18, 18, 24, 12, 9, 3);32;8
c(3, 9, 18, 27, 27, 27, 9, 9, 3);44;9
c(3, 9, 15, 21, 12);20;5
c(3, 9, 9, 9, 6, 3);13;6
c(3, 6, 12, 18, 18, 9, 6);24;7
c(3, 9, 21, 30, 24, 6, 6, 3);34;8
c(3, 9, 18, 24, 27, 12, 9, 3, 6, 3, 3);39;11
c(3, 9, 21, 24, 18, 9, 6, 3);31;8
c(3, 3, 6, 12, 12, 15, 6, 3);20;8
c(3, 6, 12, 12, 12, 6, 3, 3);19;8
c(3);1;1
c(3, 9, 15, 18, 21, 15);27;6
c(3, 9, 24, 24, 27, 15, 12, 6, 6);42;9
c(3, 9, 12, 15, 12, 9);20;6
c(3, 6, 9, 9, 15, 9, 3, 3);19;8
c(3, 6, 15, 21, 24, 24, 6);33;7
c(3, 9, 18, 18, 6, 9, 12, 6);27;8
c(3, 3, 3);3;3
c(3, 6, 12, 12, 15, 6, 6, 3);21;8
c(3, 9, 15, 30, 24, 18, 9, 6, 6);40;9
c(3, 9, 9, 12, 15, 12, 3);21;7
c(3, 9, 9, 15, 12, 6, 6, 6, 3);23;9
c(3, 9, 9, 6, 9, 15, 15, 6);24;8
c(3, 9, 12, 12, 18, 12);22;6
c(3, 6, 9, 12, 3);11;5
c(3, 9, 15, 18, 21, 24, 6, 3);33;8
c(3, 6);3;2
c(3, 9, 9, 12, 15, 12, 12, 6);26;8
c(3, 6, 3);4;3
c(3, 9, 15, 15, 9, 3, 3, 3);20;8
c(3, 6, 15, 18, 15, 15, 9);27;7
c(3, 9, 9, 12, 6, 3);14;6
c(3, 6, 12, 15, 15, 6, 6);21;7
c(3, 9, 12, 15, 15, 12, 3);23;7
c(3, 6, 9, 6, 3);9;5
